Sample;Obscuration;Residual;Concentration;Span;D [4, 3] - Volume weighted mean;Uniformity;Specific surface area;D [3, 2] - Surface weighted mean ;d (0.1);d (0.5);d (0.9);0.02;0.02244;0.025179;0.028251;0.031698;0.035566;0.039905;0.044774;0.050238;0.056368;0.063246;0.070963;0.079621;0.089337;0.100237;0.112468;0.126191;0.141589;0.158866;0.17825;0.2;0.224404;0.251785;0.282508;0.316979;0.355656;0.399052;0.447744;0.502377;0.563677;0.632456;0.709627;0.796214;0.893367;1.002374;1.124683;1.261915;1.415892;1.588656;1.782502;2;2.244037;2.517851;2.825075;3.169786;3.556559;3.990525;4.477442;5.023773;5.636766;6.324555;7.096268;7.962143;8.933672;10.023745;11.246826;12.619147;14.158916;15.886565;17.825019;20;22.440369;25.178508;28.250751;31.697864;35.565588;39.905246;44.774423;50.237729;56.367659;63.245553;70.962678;79.621434;89.336718;100.237447;112.468265;126.191469;141.589157;158.865647;178.250188;200;224.403691;251.785082;282.507509;316.978638;355.655882;399.052463;447.744228;502.377286;563.676586;632.455532;709.626778;796.214341;893.367184;1002.374467;1124.68265;1261.914689;1415.891569;1588.656469;1782.501876;2000;Clay;Silt;Very_fine_sand;Fine_sand;Medium_sand;Coarse_sand;Very_coarse_sand;
A0;11.76;0.898;0.1041;3.539;393.691;1.11;0.0959;62.596;39.634;256.777;948.259;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017477;0.064263;0.068532;0.081345;0.092414;0.105572;0.11807;0.130588;0.143245;0.155785;0.168922;0.18236;0.196651;0.211546;0.227057;0.243178;0.259653;0.277289;0.296007;0.317344;0.341813;0.370975;0.405943;0.447612;0.498084;0.556948;0.627518;0.708408;0.803084;0.911524;1.035443;1.177367;1.335328;1.514856;1.707842;1.918095;2.134874;2.353637;2.5642;2.755302;2.92145;3.050821;3.144093;3.197512;3.216763;3.209851;3.191039;3.177686;3.188244;3.239349;3.335768;3.475173;3.635721;3.78586;3.882958;3.886243;3.762779;3.504794;3.114904;2.639902;2.114679;1.595333;1.132837;0.693521;0.376566;1.146213;14.65383;14.647558;19.010079;20.051941;21.937538;8.552838;
A5;14.56;0.875;0.5116;1.709;780.311;0.504;0.0255;234.905;126.323;761.649;1427.801;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039394;0.052443;0.054704;0.057902;0.062907;0.068052;0.073331;0.079688;0.087417;0.096879;0.108614;0.122851;0.139585;0.159105;0.18063;0.20475;0.230524;0.258927;0.29032;0.326207;0.368931;0.41998;0.483627;0.55912;0.649493;0.750904;0.86045;0.970927;1.072879;1.158675;1.217145;1.244857;1.24063;1.211874;1.175596;1.158767;1.197081;1.328739;1.601733;2.03712;2.663785;3.459926;4.395018;5.39583;6.353803;7.176668;7.727718;7.934122;7.744944;7.150104;6.189063;5.006178;3.402406;1.997677;0;4.525888;5.463328;7.248869;12.288384;38.983159;31.490372;
A10;11.2;1.658;0.2261;1.928;646.269;0.59;0.0428;140.07;87.179;609.259;1261.829;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005595;0.054704;0.0592;0.066216;0.070573;0.07826;0.085041;0.092093;0.099489;0.107046;0.114994;0.123384;0.132864;0.143581;0.156473;0.171693;0.189745;0.21057;0.233738;0.259209;0.285676;0.313749;0.342518;0.373711;0.408836;0.450999;0.504478;0.572286;0.660624;0.767981;0.897316;1.041015;1.1922;1.337844;1.462687;1.55468;1.600638;1.599207;1.55764;1.49504;1.44589;1.453825;1.567715;1.826571;2.271583;2.887432;3.665339;4.527775;5.39526;6.158905;6.711558;6.980517;6.914512;6.514676;5.8438;4.963726;3.97504;2.998288;1.932211;1.091784;0.334548;6.800778;7.485742;9.15224;16.746415;38.675428;20.804849;
A20;16.84;0.399;0.0974;4.311;350.046;1.33;0.147;40.697;26.699;200.863;892.69;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029126;0.057065;0.057685;0.063672;0.070057;0.079454;0.090232;0.103212;0.118117;0.134045;0.150855;0.16806;0.185439;0.203329;0.221417;0.240622;0.260468;0.281672;0.303763;0.326644;0.350163;0.373783;0.398471;0.42393;0.45205;0.483281;0.519403;0.561586;0.610823;0.669672;0.738041;0.82048;0.916296;1.030624;1.164225;1.319193;1.497609;1.694422;1.912031;2.135016;2.36142;2.572901;2.759489;2.908198;3.009968;3.062729;3.068332;3.036153;2.98046;2.916306;2.861611;2.831244;2.836935;2.884019;2.972436;3.087075;3.212698;3.322051;3.389643;3.390862;3.310661;3.1393;2.88727;2.559837;2.18967;1.791643;1.394568;1.028718;0.652707;0.365065;1.972387;19.243646;16.674705;17.694106;18.315214;18.677573;7.422371;
A30;19.23;1.251;0.1949;2.051;587.16;0.643;0.0863;69.521;48.911;558.168;1193.611;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032016;0.058619;0.062602;0.07276;0.083649;0.095668;0.107652;0.119909;0.131947;0.143921;0.155543;0.167307;0.178872;0.190641;0.202338;0.213924;0.225343;0.236424;0.247793;0.259586;0.273041;0.288785;0.308065;0.331757;0.360459;0.395456;0.436157;0.484482;0.539142;0.602246;0.673698;0.754689;0.846896;0.94886;1.063305;1.183288;1.308168;1.426969;1.531018;1.607633;1.645129;1.634433;1.572679;1.463127;1.325656;1.185509;1.086574;1.077611;1.210414;1.521703;2.047778;2.756737;3.624785;4.551641;5.439393;6.165961;6.624345;6.749896;6.519062;5.960443;5.174651;4.246714;3.290437;2.409707;1.519189;0.8458;1.231593;11.245247;9.15335;7.711156;15.713058;37.4591;17.486498;
A35;15.88;0.41;0.1446;3.057;513.578;0.989;0.0949;63.256;39.535;383.213;1210.879;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029323;0.053655;0.057311;0.066997;0.077611;0.089499;0.101663;0.114388;0.127274;0.140546;0.15391;0.167953;0.182267;0.197357;0.212928;0.229017;0.245679;0.262728;0.281066;0.300626;0.322945;0.348382;0.378288;0.413481;0.454574;0.5034;0.559479;0.625989;0.701717;0.789998;0.890699;1.004938;1.134026;1.274561;1.429002;1.587584;1.750424;1.906042;2.048639;2.169403;2.260971;2.320249;2.344477;2.336946;2.30377;2.254219;2.202981;2.168095;2.170619;2.231027;2.370753;2.593097;2.901811;3.273017;3.678128;4.071238;4.398833;4.618909;4.686922;4.582312;4.306605;3.862707;3.27587;2.612627;1.760355;1.028093;1.18013;14.330731;12.455728;13.610488;15.540324;26.036342;16.846257;
A40;23.66;1.969;0.3196;1.642;840.157;0.502;0.067;89.607;57.088;902.32;1538.969;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014874;0.053536;0.054688;0.063541;0.070286;0.079716;0.088666;0.098037;0.107855;0.11788;0.128666;0.139887;0.15189;0.164309;0.176956;0.189581;0.201727;0.213742;0.225458;0.237907;0.251694;0.268268;0.288998;0.315213;0.349018;0.390516;0.44183;0.500949;0.568334;0.640826;0.715936;0.791218;0.862389;0.929644;0.989689;1.045242;1.096325;1.145902;1.19537;1.244407;1.291599;1.329389;1.348525;1.334814;1.273581;1.153077;0.972119;0.742409;0.502674;0.303463;0.230179;0.365175;0.787314;1.554123;2.673205;4.065615;5.635315;7.138295;8.387737;9.129072;9.209398;8.5368;7.266176;5.102577;3.056398;0.877745;10.005979;7.018845;7.411505;2.931214;29.45429;42.300421;
A50;20.09;1.364;0.25;1.984;681.139;0.633;0.0716;83.773;51.848;670.744;1382.28;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.058129;0.063108;0.071788;0.080942;0.092771;0.104568;0.116968;0.129827;0.14341;0.157282;0.171822;0.186667;0.201791;0.217172;0.232561;0.248649;0.265254;0.283554;0.303719;0.32671;0.352978;0.382733;0.416882;0.454569;0.497332;0.54388;0.596021;0.653857;0.718821;0.793013;0.876358;0.972697;1.07817;1.194695;1.315241;1.434811;1.54384;1.631347;1.688014;1.702988;1.670663;1.591253;1.469754;1.324231;1.183218;1.084925;1.076636;1.209482;1.51786;2.031873;2.735488;3.595244;4.533933;5.439603;6.218202;6.738804;6.936515;6.768982;6.234229;5.375188;4.325432;2.924655;1.708893;0.861511;10.932492;8.807948;8.942107;9.656264;33.462301;27.337379;
C0;25.78;1.324;0.3283;1.861;690.305;0.55;0.0717;83.723;71.421;667.119;1312.645;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016735;0.060526;0.062455;0.073071;0.081791;0.093698;0.105526;0.118154;0.13154;0.145164;0.159488;0.173818;0.188385;0.202608;0.21623;0.228968;0.240402;0.250864;0.260176;0.269049;0.277671;0.286586;0.296047;0.3062;0.3174;0.329497;0.343319;0.359108;0.378622;0.403614;0.436685;0.481117;0.538655;0.613185;0.701643;0.804267;0.912331;1.017568;1.107176;1.167925;1.189046;1.163401;1.091571;0.987813;0.873895;0.78938;0.781471;0.903257;1.197409;1.710918;2.428286;3.343462;4.370928;5.422301;6.372564;7.095828;7.507806;7.542382;7.200392;6.543812;5.636928;4.581925;3.509253;2.290963;1.307744;1.048148;8.099849;6.198313;5.687531;13.95426;41.141273;23.870625;
C10;23.84;1.393;0.2367;2.231;588.53;0.713;0.091;65.925;43.79;539.238;1247.084;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017484;0.064622;0.069649;0.083563;0.096749;0.112491;0.128488;0.145206;0.162751;0.180562;0.199314;0.218243;0.237802;0.257393;0.276843;0.295944;0.31418;0.332106;0.349262;0.366617;0.38409;0.402331;0.421518;0.44174;0.463624;0.486863;0.512892;0.54169;0.575472;0.615667;0.664663;0.725525;0.799437;0.891034;0.997523;1.121547;1.256471;1.397774;1.536111;1.660264;1.761949;1.829291;1.859387;1.851498;1.813885;1.764833;1.732824;1.754146;1.866069;2.110152;2.497292;3.038032;3.691931;4.406292;5.094092;5.654206;6.007528;6.079438;5.848673;5.34751;4.622165;3.758467;2.872259;1.869074;1.0635;1.260879;11.572459;8.734116;10.851718;14.957622;33.090229;19.532975;
C20;18.54;0.837;0.2219;2.671;545.373;0.88;0.0741;80.931;52.11;441.343;1230.932;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.055133;0.061315;0.070314;0.079454;0.090104;0.100074;0.109989;0.119928;0.130347;0.141229;0.153204;0.166303;0.180792;0.196932;0.214614;0.234659;0.256605;0.281493;0.308767;0.338747;0.370937;0.404575;0.439726;0.475042;0.512054;0.550508;0.593822;0.645109;0.709422;0.793279;0.900799;1.041031;1.211224;1.416583;1.646802;1.894281;2.142592;2.370905;2.56265;2.692536;2.750016;2.725866;2.624134;2.463044;2.275473;2.103666;2.001038;2.016883;2.187429;2.530817;3.025109;3.624746;4.248192;4.794659;5.182538;5.330225;5.211204;4.842947;4.259772;3.528161;2.747416;1.816375;1.046415;0.816658;11.120873;12.033813;15.531069;13.864942;28.391564;18.241086;
C30;22.45;0.464;0.1121;4.176;337.642;1.27;0.175;34.297;21.521;199.846;856.136;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043663;0.054356;0.060227;0.065863;0.074402;0.084798;0.097687;0.114188;0.133259;0.155035;0.178016;0.201781;0.22545;0.248463;0.271004;0.292526;0.314053;0.335134;0.35678;0.378818;0.401497;0.424961;0.448822;0.473923;0.499507;0.526675;0.55479;0.584351;0.615273;0.647602;0.682692;0.720884;0.765806;0.818858;0.885436;0.969191;1.074896;1.208;1.368786;1.563946;1.783955;2.031003;2.289345;2.549562;2.795611;3.011003;3.186745;3.309131;3.37921;3.396389;3.369086;3.309311;3.233267;3.158021;3.102398;3.078897;3.094089;3.143529;3.210778;3.269133;3.284076;3.224487;3.065262;2.80653;2.453861;2.049555;1.621382;1.211817;0.855453;0.522308;0.28341;2.614771;18.090583;15.863269;19.996394;18.787712;18.103349;6.543925;
