"plot","lon","lat","site"
"L20",18.5475774,-31.265187,"site2"
"L15",18.5476038,-31.2652255,"site2"
"L10",18.5476302,-31.265264,"site2"
"L5",18.5476566,-31.2653025,"site2"
"L0",18.547683,-31.265341,"site2"
"M50",18.5473734,-31.2649785,"site2"
"M45",18.54739991,-31.265017,"site2"
"M40",18.54742642,-31.2650555,"site2"
"M35",18.54745293,-31.265094,"site2"
"M30",18.54747944,-31.2651325,"site2"
"M25",18.54750595,-31.265171,"site2"
"M20",18.54753246,-31.2652095,"site2"
"M15",18.54755897,-31.265248,"site2"
"M10",18.54758548,-31.2652865,"site2"
"M5",18.54761199,-31.265325,"site2"
"M0",18.5476385,-31.2653635,"site2"
"N50",18.5473278,-31.265001,"site2"
"N45",18.54735442,-31.2650395,"site2"
"N40",18.54738104,-31.265078,"site2"
"N35",18.54740766,-31.2651165,"site2"
"N30",18.54743428,-31.265155,"site2"
"N25",18.5474609,-31.2651935,"site2"
"N20",18.54748752,-31.265232,"site2"
"N15",18.54751414,-31.2652705,"site2"
"N10",18.54754076,-31.265309,"site2"
"N5",18.54756738,-31.2653475,"site2"
"N0",18.547594,-31.265386,"site2"
"O50",18.5472822,-31.2650235,"site2"
"O45",18.54730893,-31.265062,"site2"
"O40",18.54733566,-31.2651005,"site2"
"O35",18.54736239,-31.265139,"site2"
"O30",18.54738912,-31.2651775,"site2"
"O25",18.54741585,-31.265216,"site2"
"O20",18.54744258,-31.2652545,"site2"
"O15",18.54746931,-31.265293,"site2"
"O10",18.54749604,-31.2653315,"site2"
"O5",18.54752277,-31.26537,"site2"
"O0",18.5475495,-31.2654085,"site2"
"P50",18.5472366,-31.265046,"site2"
"P45",18.54726344,-31.2650845,"site2"
"P40",18.54729028,-31.265123,"site2"
"P35",18.54731712,-31.2651615,"site2"
"P30",18.54734396,-31.2652,"site2"
"P25",18.5473708,-31.2652385,"site2"
"P20",18.54739764,-31.265277,"site2"
"P15",18.54742448,-31.2653155,"site2"
"P10",18.54745132,-31.265354,"site2"
"P5",18.54747816,-31.2653925,"site2"
"P0",18.547505,-31.265431,"site2"
"Q50",18.547191,-31.2650685,"site2"
"Q45",18.54721795,-31.265107,"site2"
"Q40",18.5472449,-31.2651455,"site2"
"Q35",18.54727185,-31.265184,"site2"
"Q30",18.5472988,-31.2652225,"site2"
"Q25",18.54732575,-31.265261,"site2"
"Q20",18.5473527,-31.2652995,"site2"
"Q15",18.54737965,-31.265338,"site2"
"Q10",18.5474066,-31.2653765,"site2"
"Q5",18.54743355,-31.265415,"site2"
"Q0",18.5474605,-31.2654535,"site2"
"R50 ",18.5471454,-31.265091,"site2"
"R45 ",18.54717246,-31.2651295,"site2"
"R40 ",18.54719952,-31.265168,"site2"
"R35 ",18.54722658,-31.2652065,"site2"
"R30 ",18.54725364,-31.265245,"site2"
"R25 ",18.5472807,-31.2652835,"site2"
"R20 ",18.54730776,-31.265322,"site2"
"R15 ",18.54733482,-31.2653605,"site2"
"R10 ",18.54736188,-31.265399,"site2"
"R5 ",18.54738894,-31.2654375,"site2"
"R0 ",18.547416,-31.265476,"site2"
"S50",18.5470998,-31.2651135,"site2"
"S45",18.54712697,-31.265152,"site2"
"S40",18.54715414,-31.2651905,"site2"
"S35",18.54718131,-31.265229,"site2"
"S30",18.54720848,-31.2652675,"site2"
"S25",18.54723565,-31.265306,"site2"
"S20",18.54726282,-31.2653445,"site2"
"S15",18.54728999,-31.265383,"site2"
"S10",18.54731716,-31.2654215,"site2"
"S5",18.54734433,-31.26546,"site2"
"S0",18.5473715,-31.2654985,"site2"
"T50",18.5470542,-31.265136,"site2"
"T45",18.54708148,-31.2651745,"site2"
"T40",18.54710876,-31.265213,"site2"
"T35",18.54713604,-31.2652515,"site2"
"T30",18.54716332,-31.26529,"site2"
"T25",18.5471906,-31.2653285,"site2"
"T20",18.54721788,-31.265367,"site2"
"T15",18.54724516,-31.2654055,"site2"
"T10",18.54727244,-31.265444,"site2"
"T5",18.54729972,-31.2654825,"site2"
"T0",18.547327,-31.265521,"site2"
"U50",18.5470086,-31.2651585,"site2"
"U45",18.54703599,-31.265197,"site2"
"U40",18.54706338,-31.2652355,"site2"
"U35",18.54709077,-31.265274,"site2"
"U30",18.54711816,-31.2653125,"site2"
"U25",18.54714555,-31.265351,"site2"
"U20",18.54717294,-31.2653895,"site2"
"U15",18.54720033,-31.265428,"site2"
"U10",18.54722772,-31.2654665,"site2"
"U5",18.54725511,-31.265505,"site2"
"U0",18.5472825,-31.2655435,"site2"
"V50",18.546963,-31.265181,"site2"
"V45",18.5469905,-31.2652195,"site2"
"V40",18.547018,-31.265258,"site2"
"V35",18.5470455,-31.2652965,"site2"
"V30",18.547073,-31.265335,"site2"
"V25",18.5471005,-31.2653735,"site2"
"V20",18.547128,-31.265412,"site2"
"V15",18.5471555,-31.2654505,"site2"
"V10",18.547183,-31.265489,"site2"
"V5",18.5472105,-31.2655275,"site2"
"V0",18.547238,-31.265566,"site2"
"AA50",18.548134,-31.265926,"site3"
"AA45",18.5481661,-31.265962,"site3"
"AA40",18.5481982,-31.265998,"site3"
"AA35",18.5482303,-31.266034,"site3"
"AA30",18.5482624,-31.26607,"site3"
"AA25",18.5482945,-31.266106,"site3"
"AA20",18.5483266,-31.266142,"site3"
"AA15",18.5483587,-31.266178,"site3"
"AA10",18.5483908,-31.266214,"site3"
"AA5",18.5484229,-31.26625,"site3"
"AA0",18.548455,-31.266286,"site3"
"AB50",18.5480932,-31.2659539,"site3"
"AB45",18.54812529,-31.26598985,"site3"
"AB40",18.54815738,-31.2660258,"site3"
"AB35",18.54818947,-31.26606175,"site3"
"AB30",18.54822156,-31.2660977,"site3"
"AB25",18.54825365,-31.26613365,"site3"
"AB20",18.54828574,-31.2661696,"site3"
"AB15",18.54831783,-31.26620555,"site3"
"AB10",18.54834992,-31.2662415,"site3"
"AB5",18.54838201,-31.26627745,"site3"
"AB0",18.5484141,-31.2663134,"site3"
"AC50",18.5480524,-31.2659818,"site3"
"AC45",18.54808448,-31.2660177,"site3"
"AC40",18.54811656,-31.2660536,"site3"
"AC35",18.54814864,-31.2660895,"site3"
"AC30",18.54818072,-31.2661254,"site3"
"AC25",18.5482128,-31.2661613,"site3"
"AC20",18.54824488,-31.2661972,"site3"
"AC15",18.54827696,-31.2662331,"site3"
"AC10",18.54830904,-31.266269,"site3"
"AC5",18.54834112,-31.2663049,"site3"
"AC0",18.5483732,-31.2663408,"site3"
"AD50",18.5480116,-31.2660097,"site3"
"AD45",18.54804367,-31.26604555,"site3"
"AD40",18.54807574,-31.2660814,"site3"
"AD35",18.54810781,-31.26611725,"site3"
"AD30",18.54813988,-31.2661531,"site3"
"AD25",18.54817195,-31.26618895,"site3"
"AD20",18.54820402,-31.2662248,"site3"
"AD15",18.54823609,-31.26626065,"site3"
"AD10",18.54826816,-31.2662965,"site3"
"AD5",18.54830023,-31.26633235,"site3"
"AD0",18.5483323,-31.2663682,"site3"
"AE50",18.5479708,-31.2660376,"site3"
"AE45",18.54800286,-31.2660734,"site3"
"AE40",18.54803492,-31.2661092,"site3"
"AE35",18.54806698,-31.266145,"site3"
"AE30",18.54809904,-31.2661808,"site3"
"AE25",18.5481311,-31.2662166,"site3"
"AE20",18.54816316,-31.2662524,"site3"
"AE15",18.54819522,-31.2662882,"site3"
"AE10",18.54822728,-31.266324,"site3"
"AE5",18.54825934,-31.2663598,"site3"
"AE0",18.5482914,-31.2663956,"site3"
"AF50",18.54793,-31.2660655,"site3"
"AF45",18.54796205,-31.26610125,"site3"
"AF40",18.5479941,-31.266137,"site3"
"AF35",18.54802615,-31.26617275,"site3"
"AF30",18.5480582,-31.2662085,"site3"
"AF25",18.54809025,-31.26624425,"site3"
"AF20",18.5481223,-31.26628,"site3"
"AF15",18.54815435,-31.26631575,"site3"
"AF10",18.5481864,-31.2663515,"site3"
"AF5",18.54821845,-31.26638725,"site3"
"AF0",18.5482505,-31.266423,"site3"
"AG50",18.5478892,-31.2660934,"site3"
"AG45",18.54792124,-31.2661291,"site3"
"AG40",18.54795328,-31.2661648,"site3"
"AG35",18.54798532,-31.2662005,"site3"
