"plot","lon","lat","elevation","slope","aspect","drainage"
"A0",18.548036,-31.264916,199.309665679932,0.0218626361572717,1.50793319188213,1.62691943250692e-10
"A5",18.5480779,-31.2649409,199.209964752197,0.0126927397579392,1.48098922077086,8.13459716253462e-11
"A10",18.5481198,-31.2649658,199.155281066895,0.0163796445724727,1.74905534612986,2.44037900998251e-10
"A15",18.5481617,-31.2649907,199.130702972412,0.0185363543297412,1.25274246761979,8.13459716253462e-11
"A20",18.5482036,-31.2650156,199.068954467773,0.0271124651110996,1.36743741147419,8.13459716253462e-11
"A25",18.5482455,-31.2650405,198.98140335083,0.0323714465246958,1.05257612063716,1.62691943250692e-10
"A30",18.5482874,-31.2650654,198.885066986084,0.0442860765048015,1.13621316973657,4.88075801996501e-10
"A35",18.5483293,-31.2650903,198.803001403809,0.0396772967959311,0.889360520787333,5.69421787499635e-10
"A40",18.5483712,-31.2651152,198.765670776367,0.0472164741775749,0.938800107040601,4.88075801996501e-10
"A45",18.5484131,-31.2651401,198.733409881592,0.0533609827561687,0.509520847314392,1.62691943250692e-10
"A50",18.548455,-31.265165,198.765331268311,0.0534948984910352,0.796227369557358,9.76151603993003e-10
"B0",18.5480053,-31.2649509,199.290504455566,0.0307962168122911,3.76655058670474,2.44037900998251e-10
"B5",18.54804723,-31.26497598,199.142707824707,0.0173989303473617,1.76440210453805,8.9480567400102e-10
"B10",18.54808916,-31.26500106,199.179996490479,0.0231953318719478,3.57739954660629,1.62691943250692e-10
"B15",18.54813109,-31.26502614,199.12841796875,0.0255285080891315,3.205785350745,2.44037900998251e-10
"B20",18.54817302,-31.26505122,199.089553833008,0.0164479517803068,4.40114163518172,2.44037900998251e-10
"B25",18.54821495,-31.2650763,199.074634552002,0.019795085917911,1.59531186801091,1.62691943250692e-10
"B30",18.54825688,-31.26510138,198.987506866455,0.0147176970123964,1.6209407671226,1.62691943250692e-10
"B35",18.54829881,-31.26512646,198.932888031006,0.0184422325901795,0.787753344507198,2.44037900998251e-10
"B40",18.54834074,-31.26515154,198.94437789917,0.026066773077044,0.646076622788493,1.62691943250692e-10
"B45",18.54838267,-31.26517662,198.930728912354,0.026751291633471,0.704398593250856,2.44037900998251e-10
"B50",18.5484246,-31.2652017,198.921287536621,0.0228488109427259,0.776571282736706,3.25383886501385e-10
"C0",18.5479746,-31.2649858,199.072441101074,0.0397828265937067,3.82893552101884,4.06729844248943e-10
"C5",18.54801656,-31.26501106,199.051738739014,0.0358030011852072,3.64397129729632,3.25383886501385e-10
"C10",18.54805852,-31.26503632,199.028984069824,0.0276725494131333,3.95874754199937,4.88075801996501e-10
"C15",18.54810048,-31.26506158,199.024356842041,0.0142932497313789,3.35260232211772,5.69421787499635e-10
"C20",18.54814244,-31.26508684,199.013206481934,0.0119570401231825,4.16036834596486,2.03364924900029e-09
"C25",18.5481844,-31.2651121,199.033195495605,0.0175920971717446,3.69266432018234,8.13459716253462e-11
"C30",18.54822636,-31.26513736,198.98583984375,0.0179453739874065,2.82092276562943,8.13459716253462e-11
"C35",18.54826832,-31.26516262,198.950408935547,0.0253763392512117,3.87130948549249,1.62691943250692e-10
"C40",18.54831028,-31.26518788,198.904788970947,0.0241354690826435,3.82575936586353,6.50767773002769e-10
"C45",18.54835224,-31.26521314,198.958923339844,0.0199885659226559,4.38917298099314,4.06729844248943e-10
"C50",18.5483942,-31.2652384,199.000213623047,0.0142924733667101,0.23076817034999,3.25383886501385e-10
"D0",18.5479439,-31.2650207,198.895183563232,0.0426939221664127,3.38910215934643,1.4642274059895e-09
"D5",18.54798589,-31.26504614,198.826244354248,0.0376944276983723,4.00939107630886,6.50767773002769e-10
